trending_date,category_name,views,avg_likes,num_trending_videos
2017-12-12,News & Politics,6215645,3879.304347826087,23
2017-12-12,People & Blogs,22573982,45365.217391304344,23
2017-12-12,Pets & Animals,389506,4050.0,3
2017-12-12,Science & Technology,1930856,22551.0,5
2017-12-12,Sports,17136185,62467.0,6
2017-12-12,Travel & Events,329849,2329.6666666666665,3
2017-12-13,Autos & Vehicles,87045,217.0,2
2017-12-13,Comedy,21602518,59256.88888888889,18
2017-12-13,Education,3191203,25429.428571428572,7
2017-12-13,Entertainment,236888413,111193.17647058824,51
2017-12-13,Film & Animation,11583447,32668.375,8
2017-12-13,Gaming,7889503,30724.285714285714,7
2017-12-13,Howto & Style,8935680,16715.428571428572,21
2017-12-13,Music,61353342,107759.80769230769,26
2017-12-13,News & Politics,5631068,3712.090909090909,22
2017-12-13,People & Blogs,15788873,53787.05263157895,19
2017-12-13,Pets & Animals,792735,5917.666666666667,3
2017-12-13,Science & Technology,3116612,15804.1,10
2017-12-13,Sports,1846064,5205.25,4
2017-12-13,Travel & Events,358945,3756.5,2
2017-12-14,Comedy,14156091,41933.45,20
2017-12-14,Education,4257996,28171.875,8
2017-12-14,Entertainment,233603227,111117.96078431372,51
2017-12-14,Film & Animation,12678013,24146.333333333332,9
2017-12-14,Gaming,3189816,26786.4,5
2017-12-14,Howto & Style,6379760,11632.947368421053,19
2017-12-14,Music,74120705,88639.61764705883,34
2017-12-14,News & Politics,7397468,4402.25,20
2017-12-14,People & Blogs,16284609,80810.0,13
2017-12-14,Pets & Animals,1360112,8939.0,5
2017-12-14,Science & Technology,4639527,18772.75,12
2017-12-14,Sports,1952779,5271.0,4
2017-12-15,Comedy,18117598,52940.0,22
2017-12-15,Education,2553394,13516.857142857143,7
2017-12-15,Entertainment,92979228,48325.28070175439,57
2017-12-15,Film & Animation,15058148,26156.88888888889,9
2017-12-15,Gaming,109028,10357.0,1
2017-12-15,Howto & Style,8422973,16984.736842105263,19
2017-12-15,Music,74233969,78493.16129032258,31
2017-12-15,News & Politics,5557698,3079.8947368421054,19
2017-12-15,People & Blogs,16763843,61099.82352941176,17
2017-12-15,Pets & Animals,1696175,11198.2,5
2017-12-15,Science & Technology,4829837,25750.777777777777,9
2017-12-15,Sports,477699,1477.0,4
2017-12-16,Autos & Vehicles,22195,391.0,1
2017-12-16,Comedy,22901385,66515.05,20
2017-12-16,Education,2299036,17725.0,5
2017-12-16,Entertainment,53406231,35986.454545454544,55
2017-12-16,Film & Animation,9894642,21632.11111111111,9
2017-12-16,Gaming,185118,13542.0,1
2017-12-16,Howto & Style,7025300,25889.777777777777,18
2017-12-16,Music,50983532,58200.555555555555,36
2017-12-16,News & Politics,6175517,3405.823529411765,17
2017-12-16,Nonprofits & Activism,7052,686.0,1
2017-12-16,People & Blogs,17189508,64364.375,16
2017-12-16,Pets & Animals,2209576,16853.25,4
2017-12-16,Science & Technology,5827206,28241.444444444445,9
2017-12-16,Sports,1026030,1568.5714285714287,7
2017-12-16,Travel & Events,49461,766.0,1
2017-12-17,Autos & Vehicles,28308,436.0,1
2017-12-17,Comedy,21156207,64315.38888888889,18
