ds,predicted_views,yhat_lower,yhat_upper
2018-06-04,190496344.65507263,141501107.3037172,239609106.45508668
2018-06-05,187535647.68664345,139489336.33861923,240708732.0963531
2018-06-06,190489054.4409123,140805868.6372867,240349574.27609697
2018-06-07,195003036.8554851,149870511.98510912,246330516.19136125
2018-06-08,190936071.0826341,141741476.08986264,241786186.2473707
2018-06-09,186558878.1533629,139120185.358561,239078320.62048787
2018-06-10,188043394.6418923,136565778.47725108,236217029.19640684
2018-06-11,198872588.48790583,150500476.88801858,252049578.3144992
2018-06-12,195911891.51947185,145288785.60246417,242719560.70890296
2018-06-13,198865298.2737451,149589974.1168047,250435496.6694816
2018-06-14,203379280.68830568,154194648.60225287,249342194.887848
2018-06-15,199312314.91545388,150043783.22782204,251274004.34730503
2018-06-16,194935121.98619097,142023663.96640518,243907657.67834076
2018-06-17,196419638.47472453,146780778.7003233,246441735.8790251
2018-06-18,207248832.3207273,155069893.75689352,255531486.96798196
2018-06-19,204288135.35229835,157429545.67309034,256621176.4061333
2018-06-20,207241542.10657403,160181574.41367418,260277554.28608865
2018-06-21,211755524.52113816,159569015.91144675,257789156.81495625
2018-06-22,207688558.74828413,161646607.313736,256149718.3421017
2018-06-23,203311365.81901893,157186550.91902918,253987651.8035231
2018-06-24,204795882.3075247,152341248.92006537,251519818.39273047
2018-06-25,215625076.1535605,167616838.73394945,261913128.87934867
2018-06-26,212664379.18512675,161339161.96371898,264836903.06968883
2018-06-27,215617785.9394029,169855349.14111835,263982634.01791424
2018-06-28,220131768.35397065,173478729.1087688,270833545.49039304
2018-06-29,216064802.58111173,166622981.83299485,261336804.92032245
2018-06-30,211687609.65184656,159012737.11077872,259288495.33487475
2018-07-01,213172126.14036092,164591322.73215026,264387394.55711755
2018-07-02,224001319.98639047,172958123.17905304,274244717.91661257
2018-07-03,221040623.01794717,172885995.9967708,273119475.7575835
2018-07-04,223994029.77223176,172964209.14849824,275653059.09839916
2018-07-05,228508012.18680048,173848932.30337036,276985878.266056
2018-07-06,224441046.41394195,179926467.8942237,274147577.49765176
2018-07-07,220063853.4846746,170822270.22906947,270725900.5786
2018-07-08,221548369.97319695,167512211.64070943,269869649.45269233
2018-07-09,232377563.81922033,181512829.79596055,282187086.26706785
2018-07-10,229416866.8507897,180211926.7501414,278592064.7479994
2018-07-11,232370273.6050463,184287339.2407807,283625202.7925855
2018-07-12,236884256.019621,186242199.67573944,290314142.91784626
2018-07-13,232817290.24676183,182679031.77094096,282159977.9516495
2018-07-14,228440097.31749576,177108392.23707983,277350129.8872444
